HeatOutputPercent,MixedAirTemp,OutdoorAirEnthalpyReference,SpacePressActive,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirTemp,SupplyAirTempSetpoint
0.0,59.9208,15.9342,0.0236,16.6405,64.7993,1.931,54.7363,55.0
47.72,58.6427,16.0038,0.0236,17.6781,64.7993,1.951,54.7363,55.0
9.915,60.1908,16.0038,0.0242,15.6334,65.9514,1.8667,54.7363,55.0
6.33,58.9127,15.8904,0.0248,17.1288,64.4753,1.947,55.3663,55.0
77.635,59.7408,15.8904,0.0265,15.6944,65.6634,1.8707,55.3663,55.0
0.0,59.7408,15.8904,0.0249,16.4269,64.8353,1.943,54.6463,55.0
80.21,58.8227,15.9342,0.0258,16.6405,64.8353,1.947,54.6463,55.0
0.0,60.4608,15.8218,0.0252,14.7789,65.7894,1.931,55.3663,55.0
15.62,59.0927,15.6417,0.0245,15.9386,64.4032,1.943,55.3663,55.0
51.4,60.4608,15.7532,0.0239,14.0465,65.9514,1.8587,55.3663,55.0
0.0,59.2727,15.8646,0.0236,15.0841,64.7093,1.943,55.3663,55.0
83.63,59.2727,16.0317,0.0254,14.9315,64.7093,1.8868,55.3663,55.0
0.0,61.1989,16.1431,0.0257,13.6498,65.7534,1.939,54.6463,55.0
9.83,60.0108,16.2919,0.0245,14.901,64.4753,1.951,55.3663,55.0
58.645,60.9109,16.1439,0.0245,13.3751,65.8614,1.8707,55.3663,55.0
0.0,60.9109,16.2726,0.0239,14.4127,64.7993,1.947,55.3663,55.0
79.695,60.1008,16.3821,0.0236,14.5653,64.7993,1.8828,55.3663,55.0
0.0,61.0909,16.6009,0.0249,13.7718,65.5554,1.935,55.3663,55.0
19.06,59.9208,16.7946,0.0258,15.0841,64.2052,1.947,55.3663,55.0
38.005,61.0909,16.7946,0.0262,13.4361,65.9514,1.9029,55.3663,55.0
0.0,60.3708,16.7147,0.0255,14.901,64.6733,1.951,53.7462,55.0
76.215,61.1989,16.8477,0.0249,14.5043,64.6733,1.8828,54.9163,55.0
0.0,61.919,16.9542,0.0245,13.8939,65.4293,1.939,54.0162,55.0
15.13,60.7309,17.0295,0.0245,14.3517,64.3672,1.935,56.1044,55.0
64.245,61.4689,17.135,0.0226,13.0394,65.6274,1.8747,53.7462,55.0
0.0,61.4689,17.135,0.0226,13.9549,64.7993,1.939,55.9244,55.0
72.765,61.4689,17.2405,0.024,14.5958,64.7993,1.8988,53.7462,55.0
10.775,61.4689,17.3988,0.0233,14.1075,64.7993,1.9269,55.6364,55.0
35.04,61.4689,17.3109,0.0226,15.725,64.7993,1.939,53.7462,55.0
40.595,62.189,17.4155,0.0249,13.4667,65.9514,1.8747,56.2844,55.0
0.0,61.559,17.52,0.024,14.4737,64.7993,1.943,54.4662,55.0
77.58,61.559,17.729,0.0246,15.0841,64.7993,1.8988,55.6364,55.0
0.0,61.559,17.7813,0.0251,14.7179,65.4653,1.935,53.9262,55.0
14.795,60.9109,17.689,0.0246,16.1217,64.4392,1.947,55.6364,55.0
48.84,61.919,17.6992,0.024,14.5958,66.1134,1.8587,54.9163,55.0
0.0,60.7309,17.8735,0.0252,18.0443,64.7993,1.943,54.9163,55.0
81.15,59.9208,18.0581,0.0239,20.5772,64.7993,1.8948,55.7264,55.0
0.0,60.7309,18.4615,0.0225,20.7909,64.7993,1.9269,55.7264,55.0
24.475,59.6508,18.4272,0.0225,22.7745,64.7993,1.943,55.7264,55.0
35.455,60.7309,18.2195,0.0242,21.7674,66.3474,1.8868,54.4662,55.0
0.0,60.0108,18.0741,0.0248,24.7887,64.8353,1.943,54.4662,55.0
60.55,59.2727,18.1149,0.0242,26.6197,64.8353,1.935,55.0963,55.0
0.0,60.7309,18.0765,0.0242,25.5516,65.9514,1.9269,54.2862,55.0
2.08,59.5608,18.1171,0.0245,27.169,64.6013,1.943,55.2763,55.0
70.155,59.5608,18.0738,0.0234,26.4976,64.6013,1.9029,55.2763,55.0
0.0,60.2808,17.9496,0.0223,25.7042,65.4293,1.943,54.6463,55.0
19.4,59.3627,17.9496,0.0226,27.2301,64.3132,1.947,54.6463,55.0
37.365,60.4608,18.3223,0.0258,25.1243,66.0234,1.8707,54.6463,55.0
0.0,59.6508,18.3223,0.0243,27.2301,64.7633,1.947,54.6463,55.0
74.695,59.6508,18.2807,0.0254,27.6268,64.7633,1.9189,55.2763,55.0
0.0,60.5509,18.2807,0.0249,25.9788,65.5914,1.935,54.2862,55.0
10.68,59.5608,18.2807,0.0246,27.3826,64.3672,1.943,54.2862,55.0
73.16,60.4608,18.3418,0.0234,26.0399,65.3573,1.8747,55.3663,55.0
0.0,60.4608,18.2953,0.0223,26.4366,65.3573,1.943,54.5563,55.0
46.08,59.4527,18.4156,0.0237,27.7183,64.2772,1.947,55.7264,55.0
32.09,60.8209,18.2953,0.0251,24.8192,65.9154,1.8828,55.0063,55.0
0.0,60.0108,18.2109,0.0239,26.4061,64.7993,1.947,55.0063,55.0
77.145,60.0108,18.1266,0.0239,26.4061,64.7993,1.8908,55.0063,55.0
0.0,60.0108,18.1266,0.0243,24.3309,64.7993,1.931,55.0063,55.0
14.805,60.0108,18.1595,0.022,26.284,64.7993,1.951,55.0063,55.0
45.62,60.7309,18.1595,0.0251,23.629,66.1854,1.8908,54.1062,55.0
