HeatOutputPercent,MixedAirTemp,OutdoorAirDamperOutput,OutdoorAirEnthalpyReference,SpaceCoolingSetpointActive,SpaceHeatingSetpointActive,SpaceTemp,SpaceTempSetpointActive,SupplyAirTemp
68.4,68.3996,0.0,15.4673,75.9789,72.2394,72.252,75.9789,72.252
54.895,68.3996,0.0,15.527,75.9789,72.2394,72.252,75.9789,72.252
54.895,68.3996,0.0,15.4028,75.9789,72.2394,72.252,75.9789,72.252
54.895,68.3996,0.0,15.344,75.9789,72.2394,72.252,75.9789,72.252
54.895,68.3996,0.0,15.2208,75.9789,72.2394,72.252,75.9789,72.252
54.895,68.3996,0.0,15.2208,75.9789,72.2394,72.252,75.9789,72.252
60.875,67.6616,0.0,15.1543,75.9789,72.2394,72.252,75.9789,71.514
70.29,68.3996,0.0,15.2785,75.9789,72.2394,72.252,75.9789,71.514
59.535,68.3996,0.0,15.2785,75.9789,72.2394,72.252,75.9789,72.432
53.58,68.3996,0.0,15.4028,75.9789,72.2394,72.252,75.9789,72.432
53.58,67.6616,0.0,15.6512,75.9789,72.2394,72.252,75.9789,71.694
53.58,67.6616,0.0,15.7133,75.9789,72.2394,72.252,75.9789,71.694
53.58,67.6616,0.0,15.6512,75.9789,72.2394,72.252,75.9789,71.694
53.58,67.6616,0.0,15.5867,75.9789,72.2394,72.252,75.9789,71.694
53.58,67.6616,0.0,15.4615,75.9789,72.2394,72.252,75.9789,71.694
57.365,67.6616,0.0,15.3363,75.9789,72.2394,72.252,75.9789,71.694
70.145,67.6616,0.0,15.2678,75.9789,72.2394,72.252,75.9789,71.694
68.935,68.3996,0.0,15.4615,75.9789,72.2394,72.252,75.9789,71.694
50.96,68.3996,0.0,15.8376,75.9789,72.2394,72.252,75.9789,72.432
50.96,68.3996,0.0,15.8986,75.9789,72.2394,72.252,75.9789,72.432
33.285,68.3996,0.0,15.9577,75.9789,72.2394,72.252,75.9789,72.432
15.385,68.3996,0.0,15.9577,75.9789,72.2394,73.3321,75.9789,72.432
0.0,69.5878,0.0,15.9577,75.9789,72.2394,75.1143,75.9789,73.9982
0.0,69.5878,5.0,15.8354,75.9789,72.2394,75.1143,75.9789,73.9982
0.0,68.3996,5.0,15.9577,75.9789,72.2394,72.9001,75.9789,72.5221
0.0,68.3996,5.0,15.9577,75.9789,72.2394,72.9001,75.9789,72.5221
0.0,68.3996,5.0,16.08,75.9789,72.2394,72.9001,75.9789,72.5221
0.0,68.3996,5.0,16.2068,75.9789,72.2394,72.9001,75.9789,72.5221
0.0,68.3996,5.0,16.3856,75.9789,72.2394,72.9001,75.9789,72.5221
