HeatOutputPercent,MixedAirTemp,OutdoorAirEnthalpyReference,SpacePressSetpoint,SpacePressActive,SpaceRelativeHumidityActive,SpaceTemp,SpaceTempSetpointActive,SupplyAirPress,SupplyAirTemp,SupplyAirTempSetpoint
99.825,61.4689,16.8102,0.025,0.033,22.211,67.3015,61.0282,2.3605,58.2826,58.0
42.315,62.9271,16.8102,0.025,0.0359,19.7086,68.6157,61.0282,2.3966,59.3627,58.0
99.84,62.9271,16.6621,0.025,0.0359,18.4574,68.6157,61.0282,2.3485,57.4545,58.0
61.145,61.829,16.7198,0.025,0.0335,21.2955,67.4095,61.0282,2.4167,58.2826,58.0
57.055,63.1971,16.9505,0.025,0.0344,18.0912,69.4798,61.0282,2.3444,59.0927,58.0
100.0,61.829,16.8351,0.025,0.0353,19.3424,68.0576,61.0282,2.3244,59.0927,58.0
27.555,61.829,16.9505,0.025,0.0358,19.3424,68.0576,61.0282,2.4006,56.3744,58.0
87.55,62.5491,16.874,0.025,0.0358,17.5113,69.0477,61.0282,2.3204,57.4545,58.0
98.18,61.2889,16.8351,0.025,0.0349,19.7391,67.3735,61.0282,2.3284,58.8227,58.0
39.88,63.2871,16.7198,0.025,0.0353,17.5113,69.4077,61.0282,2.3605,59.5608,58.0
100.0,62.189,16.8351,0.025,0.0344,19.0372,68.3276,61.0282,2.3284,59.5608,58.0
49.655,62.189,16.7596,0.025,0.0344,19.8001,68.3276,61.0282,2.3966,56.4644,58.0
74.42,63.0171,16.4962,0.025,0.0344,17.6944,69.4077,61.0282,2.3284,57.2745,58.0
100.0,61.559,16.4962,0.025,0.0338,20.6241,67.2115,61.0282,2.3244,59.0027,58.0
31.45,63.0171,16.4962,0.025,0.0364,16.7179,69.0477,61.0282,2.4047,58.1926,58.0
100.0,63.0171,16.366,0.025,0.0352,15.6803,69.0477,61.0282,2.3244,56.1944,58.0
89.045,61.4689,16.44,0.025,0.0344,17.3893,67.6076,61.0282,2.3645,58.1926,58.0
37.12,63.0171,16.4217,0.025,0.0361,15.0089,69.4437,61.0282,2.3605,59.4527,58.0
100.0,61.829,16.366,0.025,0.0352,15.9549,68.3276,61.0282,2.3163,59.4527,58.0
62.175,61.829,16.44,0.025,0.0362,16.901,67.4095,61.0282,2.4047,57.4545,58.0
65.495,62.9271,16.44,0.025,0.0356,14.6122,69.6058,61.0282,2.3163,57.4545,58.0
100.0,61.2889,16.3276,0.025,0.0356,16.6263,67.5356,61.0282,2.3204,57.4545,58.0
